description,category
HOME RENOVATION,Rent & Housing
Debit Card Calm payment  #5498  3/14,Health & Fitness
SPEEDING TICKET,Other
QUIZLET,Education
CREDIT CARD UPS INC,Other
ach scholarship  #1755,Education
PELOTON  1/27,Health & Fitness
Lowe's  #8759,Shopping
Babysitter,Other
PURCHASE AT HOME DEPOT  #9043,Rent & Housing
SHELL,Transportation
DEBIT CARD TRAVEL VACCINATION  #587,Travel
POS TRANSACTION PAPA JOHNS,Food & Dining
payment to window replacement inc  #7721,Rent & Housing
Optimum,Bills & Utilities
Payment to U-Haul  #5690,Rent & Housing
pos transaction asian grocery,Groceries
Best Buy shop  #7216,Shopping
DUKE ENERGY SHOP,Bills & Utilities
Notary,Other
Online order Shell  6/26,Transportation
RAILWAY STORE  #6570,Transportation
CARPET CLEANING,Rent & Housing
Kaiser Permanente shop,Health & Fitness
BANK FEE,Other
COLLEGE,Education
ACH Bus Pass,Transportation
PURCHASE AT UNIVERSITY,Education
ACH Coding Bootcamp  4/28,Education
RAPIDO,Transportation
PAYMENT TO KFC  5/18,Food & Dining
GAP ONLINE,Shopping
Window Replacement  7/3,Rent & Housing
ALAMO ONLINE,Travel
Car Rental online,Transportation
github pro shop  #8250  5/2,Subscriptions
CREDIT CARD CAR BATTERY,Transportation
Spotify,Subscriptions
RAPIDO,Transportation
PAPA JOHNS,Food & Dining
SPOTIFY  #9464,Subscriptions
library fine,Education
ONLINE ORDER BONUS  #9977  3/18,Income
CHARITY  #7577,Other
PURCHASE AT APPLIANCE REPAIR  #4834,Rent & Housing
Transfer to Marshalls inc  #8466  9/15,Shopping
TRANSFER TO AUTO REPAIR  3/5,Transportation
ART CLASS,Education
Dermatologist  12/25,Health & Fitness
Travel Adapter  #558,Travel
DEBIT CARD PROGRESSIVE INC  #6505,Transportation
Online order Plumber,Rent & Housing
SIDE HUSTLE LLC,Income
RESORT INC,Travel
CREDIT CARD VEGETABLE STAND  #2748,Groceries
tour guide  4/22,Travel
Microsoft 365 llc,Subscriptions
spotify  #4093,Subscriptions
PAYMENT TO PAYROLL  2/9,Income
Walmart Grocery inc  #1105  12/25,Groceries
CREDIT CARD UBER EARNINGS,Income
ROOF REPAIR  #4739,Rent & Housing
DISNEY+,Subscriptions
Breakfast Diner,Food & Dining
PASSPORT LLC  #3168,Travel
HOME RENOVATION,Rent & Housing
DEBIT CARD GIFT MONEY STORE  #5195  7/3,Income
Payment to Donation online  #8678,Other
TEMU,Shopping
toefl exam,Education
POS TRANSACTION TAX REFUND,Income
HOME INSURANCE,Rent & Housing
PURCHASE AT DOMINION ENERGY  #419,Bills & Utilities
Pasta,Groceries
PUBLIC STORAGE  #4824  3/24,Rent & Housing
MTA,Transportation
Payment to Home Insurance,Rent & Housing
IKEA,Shopping
WALMART GROCERY,Groceries
TOLL  #5066,Transportation
ATM,Other
toll  #1727,Transportation
CREDIT CARD VERIZON  2/22,Bills & Utilities
purchase at plumber  #8087  5/7,Rent & Housing
CARNIVAL CRUISE,Travel
MOVING COMPANY  #7147  6/19,Rent & Housing
ONLINE ORDER MCDONALD'S  #8173,Food & Dining
Breakfast Diner,Food & Dining
quizlet,Education
Albertsons,Groceries
Payment to Scholarship,Education
Vegetable Stand  #8559,Groceries
Online order Home Cleaning payment,Bills & Utilities
Bulk Food  10/27,Groceries
Sewer Service,Bills & Utilities
debit card farmers market,Groceries
VISA  2/10,Travel
U-HAUL PAYMENT  #4398,Rent & Housing
Plumbing  #5264,Bills & Utilities
Movie Theater  #4034,Entertainment
WENDY'S  4/10,Food & Dining
Purchase at Beach Equipment  #1416,Travel
CAR WASH,Transportation
DROPBOX  8/11,Subscriptions
ACH Food Lion payment  #3721  7/28,Groceries
COMEDY SHOW  #2231,Entertainment
ACH RAILWAY,Transportation
EQUINOX SHOP,Health & Fitness
AMBULANCE  #1277,Health & Fitness
Municipal Water,Bills & Utilities
POS TRANSACTION MARSHALLS,Shopping
Spa  3/13,Health & Fitness
TRADER JOE'S PAYMENT,Groceries
BED BATH BEYOND LLC  1/16,Shopping
Skillshare,Education
DAIRY ONLINE,Groceries
XBOX GAME PASS,Entertainment
DEBIT CARD SKI RESORT  #3486,Travel
Wayfair  1/1,Shopping
TRADER JOE'S,Groceries
COLLEGE ONLINE,Education
ESCAPE ROOM  #1428,Entertainment
STOCK SALE,Income
BAKERY INC,Food & Dining
CANVA PAYMENT  7/4,Subscriptions
Transfer to Quizlet  #7250  10/19,Education
ATM,Other
Debit Card Hyatt  #3419  10/14,Travel
LOCAL DINER,Food & Dining
Rent,Rent & Housing
Tailoring store  2/23,Other
ACH TEMU INC  10/7,Shopping
ONLINE ORDER TAILORING PAYMENT  #4715,Other
POS Transaction ChatGPT Plus,Subscriptions
Smart Home Device,Rent & Housing
Gym Membership  #5949,Health & Fitness
U-HAUL,Rent & Housing
UPWORK,Income
QUIZLET,Education
CLUB ENTRY SHOP,Entertainment
SHOE REPAIR PAYMENT,Other
Surgery  1/22,Health & Fitness
watch store,Shopping
MAILCHIMP  #3491,Subscriptions
Online order School Supplies  9/13,Education
DEBIT CARD UDEMY  2/22,Education
ONLINE ORDER HOME DEPOT STORE,Rent & Housing
Bookstore,Education
CREDIT CARD MOVING COMPANY  #1856,Rent & Housing
ACH PHARMACY,Health & Fitness
Purchase at Eventbrite,Entertainment
PAYMENT TO TAX REFUND,Income
NEWSPAPER LLC,Subscriptions
credit card consulting llc,Income
CAR WASH  11/28,Transportation
DEBIT CARD DHL SHOP  12/16,Other
online order peet's coffee inc,Food & Dining
SAMSUNG,Shopping
NordVPN  #1488,Subscriptions
MUSEUM  #9583,Entertainment
BLUE APRON,Subscriptions
Tax Refund  11/4,Income
Payment to Ticketmaster,Entertainment
FURNITURE ASSEMBLY,Rent & Housing
POS TRANSACTION LYFT SHARED  #4850  9/9,Transportation
Debit Card Magazine  #1302,Subscriptions
RENTAL INCOME  #8123,Income
DOOR LOCK SHOP  6/3,Rent & Housing
ONLINE ORDER STUDENT LOAN SHOP,Education
TICKETMASTER  #2076,Entertainment
SHOE REPAIR,Other
NordVPN  10/27,Subscriptions
Debit Card Sunoco shop,Transportation
EQUINOX ONLINE,Health & Fitness
CREDIT CARD TOLL LLC  #6330,Transportation
alamo,Travel
University  10/27,Education
Liberty Utilities payment  #5124,Bills & Utilities
ONLINE ORDER DRY CLEANING  #3204,Other
Purchase at Moving Company shop,Rent & Housing
COMCAST STORE,Bills & Utilities
H&M,Shopping
LASER TAG  #8949,Entertainment
Currency Exchange  #1716,Other
Home Depot llc  #7555,Rent & Housing
Bathroom Renovation  11/21,Rent & Housing
DEBIT CARD TRAVEL ADAPTER  1/18,Travel
CREDIT CARD TITHE,Other
Online order Victoria's Secret,Shopping
POS TRANSACTION BIRTHDAY PARTY  #8376  12/20,Other
Purchase at 1Password,Subscriptions
TAILORING  #6899  3/12,Other
Salary  2/20,Income
ONLINE ORDER COLLEGE TUITION PAYMENT  11/23,Education
STEAM,Entertainment
CREDIT CARD FEDEX INC,Other
PUBLIX PAYMENT  #4847,Groceries
TOLL,Transportation
CREDIT CARD LOCAL DINER ONLINE,Food & Dining
Transfer to Pizza Hut  #5638,Food & Dining
FREELANCE,Income
Purchase at Extra Space Storage,Rent & Housing
SALARY,Income
Mortgage store  #3173,Rent & Housing
Bumble,Subscriptions
Accounting,Other
WALGREENS  3/21,Health & Fitness
Debit Card Trampoline Park  #6365,Entertainment
TRANSFER TO TRAVEL ADAPTER STORE,Travel
eBay  #8397,Shopping
AUTO REPAIR  #3284,Transportation
Fitness App store  5/5,Health & Fitness
Xbox Game Pass,Entertainment
PROPERTY TAX,Bills & Utilities
TRANSFER TO CONFERENCE,Education
SCHOOL SUPPLIES  #9708,Education
ONLINE ORDER SHOE REPAIR,Other
Jio,Bills & Utilities
Debit Card Jewelry Store,Shopping
TRANSFER TO BED BATH BEYOND,Shopping
PIZZA HUT,Food & Dining
Debit Card T-Mobile  #4116,Bills & Utilities
Credit Card Yoga Class,Health & Fitness
debit card firestone,Transportation
TACO BELL  #9137,Food & Dining
Bakery,Food & Dining
LASER TAG,Entertainment
GIFT MONEY,Income
lottery ticket,Other
Gym Membership online  #6757,Health & Fitness
apple tv,Entertainment
POS Transaction Google One  #1319,Subscriptions
LAUNDRY  #671  11/15,Bills & Utilities
physical therapy  6/19,Health & Fitness
Adidas  #8397,Shopping
TRANSFER TO SMOOTHIE KING  #1036,Food & Dining
Substack,Subscriptions
cold stone,Food & Dining
ONLINE ORDER CAR DETAILING STORE,Other
PANERA BREAD  #1244,Food & Dining
regal cinemas,Entertainment
DEBIT CARD URGENT CARE  #1112  6/27,Health & Fitness
ACH LAWN CARE  6/15,Bills & Utilities
PERSONAL TRAINER STORE,Health & Fitness
pos transaction club entry online  #879,Entertainment
ELECTRICIAN ONLINE,Bills & Utilities
DEBIT CARD CERTIFICATION  2/24,Education
ONLINE ORDER HOA FEE,Rent & Housing
Lawn Care payment  #9383,Bills & Utilities
PAYMENT TO BABY FOOD,Groceries
Upwork  #3001,Income
Squarespace  #9929,Subscriptions
DEBIT CARD KAYAK,Travel
CREDIT CARD TRAVEL VACCINATION,Travel
BLUE APRON  #2121,Subscriptions
ACH Arcade payment  3/2,Entertainment
APPLIANCE REPAIR,Rent & Housing
Online order Appliance Repair payment  #8321,Rent & Housing
CRUNCH FITNESS INC  #1228,Health & Fitness
STARBUCKS PAYMENT  #5612  5/2,Food & Dining
Dashlane,Subscriptions
FLIGHT BOOKING STORE  #9150,Transportation
LIBRARY FINE  4/28,Education
Uber Earnings,Income
DEBIT CARD HOME CLEANING,Bills & Utilities
PURCHASE AT URGENT CARE  #2658,Health & Fitness
WIRE TRANSFER LLC,Other
SPICES  11/11,Groceries
Music Lessons,Education
ACH AMAZON PRIME SHOP,Subscriptions
CREDIT CARD PROTEIN POWDER INC,Health & Fitness
Credit Card Payroll,Income
HBO MAX,Entertainment
Commission payment,Income
TJ Maxx,Shopping
DEBIT CARD JIMMY JOHNS LLC,Food & Dining
NETFLIX,Subscriptions
carpet cleaning online  #4293,Rent & Housing
Purchase at UPS  #275,Other
TRANSFER TO PROTEIN POWDER,Health & Fitness
Credit Card Safeway,Groceries
PAYMENT TO ATM  #5885  12/19,Other
PAYPAL TRANSFER STORE,Income
PHYSICAL THERAPY STORE  #2085,Health & Fitness
CREDIT CARD SPOTIFY,Subscriptions
SPORTS EVENT,Entertainment
CERTIFICATION  6/8,Education
Venmo Deposit,Income
Tax Refund,Income
Delta,Travel
PAYMENT TO COMCAST INC  10/8,Bills & Utilities
CREDIT CARD ARCADE  #6281,Entertainment
WHOLE FOODS  #5931  1/21,Groceries
CASHBACK  4/18,Income
WINN-DIXIE INC,Groceries
ONLINE ORDER LA FITNESS,Health & Fitness
MINI GOLF  #5103  12/18,Entertainment
Debit Card Water Bill  #3425,Bills & Utilities
Purchase at REI,Travel
Movie Theater payment,Entertainment
Debit Card Bakery  9/1,Groceries
FOOD COURT  6/1,Food & Dining
Bed Bath Beyond,Shopping
Calculator,Education
Wedding Gift  #4439,Other
CREDIT CARD TEXTBOOK,Education
carnival cruise,Travel
POS Transaction Apple TV inc,Entertainment
pos transaction wedding gift,Other
RAILWAY  #6434  8/16,Transportation
UBER EARNINGS  #1979,Income
JETBLUE,Travel
Payment to Metro,Transportation
Payment to Key Duplication  11/2,Other
PHARMACY INC,Health & Fitness
Flight Booking  #809  3/24,Transportation
H&M,Shopping
Spa,Health & Fitness
PEET'S COFFEE,Food & Dining
PAYMENT TO VEGETABLE STAND,Groceries
Pest Control payment  #5106,Bills & Utilities
Amazon,Shopping
CREDIT CARD MYNTRA  #134,Shopping
ONLINE ORDER INDIAN GROCERY LLC  #9054,Groceries
Sushi Bar,Food & Dining
CAR BATTERY  #1413,Transportation
Canva,Subscriptions
KROGER ONLINE  #8463,Groceries
TUTORING  10/22,Education
Airbnb  11/27,Travel
RESTAURANT,Food & Dining
BP FUEL,Transportation
ACH Toll payment  5/20,Transportation
PAYMENT TO DAYCARE,Other
Purchase at Google One,Subscriptions
Credit Card Lululemon store  #6872  6/13,Shopping
Peloton llc  #457,Health & Fitness
ESCAPE ROOM,Entertainment
HULU,Entertainment
PURCHASE AT VENMO DEPOSIT,Income
salesforce,Subscriptions
STORAGE UNIT,Rent & Housing
slack  4/15,Subscriptions
online order stubhub  #1740  1/8,Entertainment
debit card upwork  6/28,Income
POS Transaction Walgreens store,Health & Fitness
Credit Card Dairy  #5241,Groceries
BOOK STORE  #4529,Shopping
Samsonite  #2280,Travel
ONLINE ORDER DAYCARE  #3182,Other
FedEx  #1327  6/10,Other
ACH Post Office,Other
Purchase at Wegmans payment  #8186,Groceries
DEBIT CARD SALESFORCE,Subscriptions
Credit Card Personal Trainer  9/9,Health & Fitness
DAIRY,Groceries
ACH AMAZON PRIME  5/26,Subscriptions
Debit Card Cinemark payment,Entertainment
Thai Restaurant payment,Food & Dining
Credit Card BP Fuel  7/1,Transportation
purchase at hiking gear inc,Travel
Budget shop  9/27,Travel
PURCHASE AT CODING BOOTCAMP LLC,Education
purchase at paint supplies online,Rent & Housing
Ticketmaster llc  #7578,Entertainment
BREAKFAST DINER,Food & Dining
DEBIT CARD WATER BILL LLC  #5556,Bills & Utilities
Debit Card Roof Repair  #8648,Rent & Housing
CAR DETAILING  #7112,Other
GRUBHUB  1/17,Food & Dining
ADOBE,Subscriptions
Debit Card Toll shop,Transportation
Frozen Food payment  #6970  10/7,Groceries
POS TRANSACTION SEWER SERVICE,Bills & Utilities
ACH Equinox  #1255,Health & Fitness
CREDIT CARD THEME PARK SHOP,Entertainment
CERTIFICATION SHOP,Education
DRY CLEANING  #9189,Other
TOEFL Exam,Education
POS TRANSACTION WATER BILL,Bills & Utilities
ACH BUMBLE  #2986  9/23,Subscriptions
SALESFORCE,Subscriptions
Consulting store  #4148,Income
WEDDING GIFT  5/25,Other
GRE Test,Education
ULTA  #9073,Shopping
OLIVE GARDEN  #4717,Food & Dining
GIFT MONEY  6/23,Income
Debit Card Netflix,Entertainment
FREELANCE,Income
Karaoke llc  #3821,Entertainment
ASOS,Shopping
Textbook,Education
PAYROLL,Income
Shoe Repair inc  #6527,Other
TRANSFER TO STRIPE PAYOUT SHOP  10/5,Income
Electricity Board  #3896,Bills & Utilities
transfer to birthday party  10/11,Other
HelloFresh,Subscriptions
NOTION  #6406  12/10,Subscriptions
PAYMENT TO BROADBAND  6/3,Bills & Utilities
HVAC MAINTENANCE  #7577,Bills & Utilities
Online order Eye Doctor,Health & Fitness
dairy  #1771,Groceries
PURCHASE AT MUSIC LESSONS SHOP  #7728,Education
Ralphs,Groceries
Credit Card Victoria's Secret  #7162,Shopping
Tinder,Subscriptions
SUBSTACK  11/22,Subscriptions
Payment to Direct Deposit shop,Income
Debit Card Accounting,Other
CREDIT CARD DASHLANE SHOP  #3232  12/25,Subscriptions
Canva  7/13,Subscriptions
debit card kaiser permanente llc  1/22,Health & Fitness
Purchase at Tutoring,Education
PURCHASE AT MARATHON GAS  8/11,Transportation
TRANSFER TO HOME INSURANCE SHOP  5/19,Rent & Housing
MAILCHIMP,Subscriptions
Substack inc,Subscriptions
Transfer to Political Contribution online  #3125,Other
Public Storage shop,Rent & Housing
Scholarship  #7903,Education
Paint Supplies inc,Rent & Housing
Purchase at Tithe,Other
Online order Part Time Job store  12/27,Income
ADSENSE LLC,Income
PURCHASE AT NOTION  9/9,Subscriptions
Expedia  #415  8/5,Travel
Pet Supplies llc,Other
ONLINE ORDER EDUCATIONAL SOFTWARE  10/21,Education
samsung store  #3506,Shopping
Payment to Chinese Takeaway  #7793,Food & Dining
PUBLIX,Groceries
pos transaction ola,Transportation
ANYTIME FITNESS,Health & Fitness
Sprint shop  #4223,Bills & Utilities
PURCHASE AT DIVIDEND SHOP,Income
KHAN ACADEMY,Education
Gap,Shopping
Forever 21 store  #919,Shopping
Spa llc,Health & Fitness
XFINITY  #5854,Bills & Utilities
Jersey Mikes,Food & Dining
PANDA EXPRESS PAYMENT,Food & Dining
Watch Store,Shopping
Payment to Physical Therapy  4/8,Health & Fitness
Meijer  1/22,Groceries
ACH CONCERT TICKETS LLC,Entertainment
Debit Card Plumber,Rent & Housing
Taco Bell  6/17,Food & Dining
Transfer to Visa,Travel
Upwork payment  11/2,Income
CAR WASH STORE  #5582,Transportation
Transfer to HVAC Maintenance,Bills & Utilities
ONLINE ORDER X-RAY STORE,Health & Fitness
SAT PREP INC  #1477,Education
Credit Card United Airlines store  #9337,Travel
ONLINE ORDER CONFERENCE  8/28,Education
CINEMARK,Entertainment
FIRESTONE  #3300,Transportation
FEDEX  #215,Other
PAYMENT TO DHL STORE,Other
pos transaction spotify,Subscriptions
AVIS LLC,Travel
BEACH EQUIPMENT SHOP  #1294  10/13,Travel
ROOF REPAIR,Rent & Housing
ACH Tax Refund,Income
TARGET GROCERY PAYMENT  12/1,Groceries
SAMSONITE PAYMENT  8/22,Travel
Shake Shack llc  #3061  4/2,Food & Dining
Epic Games,Entertainment
online order quiktrip  12/9,Transportation
BIRTHDAY PARTY  #6883,Other
Renter Insurance  #7241  10/11,Rent & Housing
GAP PAYMENT,Shopping
HOSTEL  #4754,Travel
notebook,Education
Payment to Wayfair,Shopping
ONLINE ORDER HOLIDAY INN LLC,Travel
payment to coding bootcamp,Education
Oil Change,Transportation
ONLINE ORDER SALARY,Income
Purchase at Airtel  1/15,Bills & Utilities
AWS PAYMENT,Subscriptions
jio  #1649,Bills & Utilities
Purchase at Baby Food,Groceries
Credit Card Organic Food,Groceries
Tutoring Income  #9378,Income
Debit Card International SIM  #3242,Travel
PARKING METER,Transportation
COMCAST  #1992,Bills & Utilities
Online order Ajio,Shopping
HOME INSURANCE,Rent & Housing
Credit Card Texaco,Transportation
Mobil  #2355,Transportation
Verizon payment  #1245,Bills & Utilities
chevron  #8601,Transportation
LINKEDIN LEARNING  #3956,Education
LA FITNESS  9/26,Health & Fitness
Dairy,Groceries
meat market,Groceries
BAR,Entertainment
YouTube Premium  #6598,Subscriptions
Online order Chick-fil-A,Food & Dining
BOOKING.COM,Travel
BSNL  #5390,Bills & Utilities
Debit Card Beach Equipment  4/28,Travel
debit card avis online  #9830  6/27,Travel
Transfer to Car Rental,Transportation
RENTER INSURANCE LLC,Rent & Housing
PURCHASE AT MENTAL HEALTH  #9485,Health & Fitness
ONLINE ORDER EXTRA SPACE STORAGE INC,Rent & Housing
credit card local diner shop  #9400,Food & Dining
TRAVEL INSURANCE,Travel
Purchase at Travel Vaccination,Travel
UPS  6/14,Other
Flight Booking,Transportation
ACH HOMEGOODS  #9875,Shopping
POS Transaction Under Armour,Shopping
Blue Cross,Health & Fitness
CLUB ENTRY,Entertainment
Physical Therapy  #9302,Health & Fitness
DEBIT CARD CHATGPT PLUS,Subscriptions
Vrbo inc,Travel
ACH PAYROLL ONLINE  #1811,Income
purchase at sallie mae,Education
MARSHALLS,Shopping
UDEMY,Education
Enterprise Rent-A-Car  #5198,Travel
ACH WATER BILL STORE,Bills & Utilities
APPLE STORE  #271,Shopping
ach moving company,Rent & Housing
DHL  #1380,Other
CONCERT TICKETS,Entertainment
ACH CHATGPT PLUS,Subscriptions
BIRTHDAY PARTY  #8674,Other
tinder  #9258,Subscriptions
Purchase at Slack online,Subscriptions
STUBHUB,Entertainment
BONUS  #4486,Income
PAYMENT TO YOUTUBE PREMIUM PAYMENT  #1791,Subscriptions
Mexican Grocery,Groceries
domain name online,Subscriptions
BOARD GAME,Entertainment
FEDEX INC,Other
UPS  #7275  5/6,Other
Debit Card Shoe Repair llc  #8105,Other
Taco Bell  #9011,Food & Dining
TRANSFER TO GITHUB PRO  #9671,Subscriptions
Airtel  9/19,Bills & Utilities
Pet Supplies,Other
PART TIME JOB,Income
Debit Card Dentist,Health & Fitness
MAGAZINE  9/22,Subscriptions
language app  #1896,Education
PAYMENT TO TRAMPOLINE PARK  11/8,Entertainment
SECURITY DEPOSIT,Rent & Housing
indian grocery  #1034,Groceries
AMUSEMENT PARK  1/23,Entertainment
Purchase at Taxi,Transportation
Payment to Extra Space Storage,Rent & Housing
DAYCARE  #3573,Other
Frozen Food,Groceries
MUSIC LESSONS,Education
PURCHASE AT SAMSUNG  #5190  5/24,Shopping
ONLINE ORDER VISA  5/25,Travel
JIMMY JOHNS INC,Food & Dining
disney+,Subscriptions
Bookstore,Education
Credit Card Apartment  #8512,Rent & Housing
ONLINE ORDER UBER POOL SHOP  5/14,Transportation
CREDIT CARD POLITICAL CONTRIBUTION  #5323,Other
LYFT PAYMENT,Transportation
Debit Card Charity,Other
POS TRANSACTION WINN-DIXIE PAYMENT  #8173,Groceries
ONLINE ORDER ELECTRICITY BOARD,Bills & Utilities
Publix  #8405,Groceries
Photography Gig,Income
Valvoline llc,Transportation
Walmart shop,Shopping
WAYFAIR PAYMENT,Shopping
UPWORK  #6264,Income
Zelle Transfer  #6775,Income
GITHUB PRO  #8653,Subscriptions
SKILLSHARE INC  9/26,Education
SWIGGY,Food & Dining
ACH Nordstrom  #5413,Shopping
ach aws  #2207,Subscriptions
UBER EARNINGS  4/9,Income
STARBUCKS,Food & Dining
TINDER INC,Subscriptions
Transfer to Snacks  7/14,Groceries
SURGERY STORE  #1069,Health & Fitness
NOTEBOOK  #2577,Education
Wix  #8079,Subscriptions
ACH Dental Insurance,Health & Fitness
Starbucks,Food & Dining
Purchase at Pasta inc  #9424,Groceries
payment to gap  8/23,Shopping
Transfer to Hilton,Travel
DEBIT CARD KITCHEN REMODEL,Rent & Housing
BP Fuel llc  #6093,Transportation
H-E-B,Groceries
Payment to Wedding Gift  #8409,Other
credit card leasing office  #7139,Rent & Housing
kayak store  #175,Travel
EDUCATIONAL SOFTWARE  10/7,Education
Property Management,Rent & Housing
POS Transaction Flipkart store,Shopping
Shell  #458,Transportation
CREDIT CARD PLUMBER  #6765,Rent & Housing
atm payment  #3713  6/3,Other
Transfer to International SIM  #2180,Travel
Freelance  #3174,Income
Sweetgreen  6/1,Food & Dining
ACH Dairy  #5920,Groceries
municipal water  #5847,Bills & Utilities
POS Transaction Post Office llc,Other
Duke Energy,Bills & Utilities
online order carpet cleaning online  #1419,Rent & Housing
ACH UBER EARNINGS  #1477,Income
MYNTRA INC,Shopping
debit card amusement park  8/19,Entertainment
Hyatt,Travel
Renter Insurance,Rent & Housing
Toll online  #6499,Transportation
PHYSICAL THERAPY,Health & Fitness
CREDIT CARD ENTERPRISE RENT-A-CAR  #3769,Travel
CREDIT CARD ELECTRICIAN PAYMENT,Bills & Utilities
PURCHASE AT GEICO,Transportation
POS TRANSACTION PAYPAL TRANSFER,Income
T-Mobile,Bills & Utilities
WHOLE FOODS  #4350,Groceries
ACH BSNL,Bills & Utilities
PASSPORT PHOTO  #6033,Other
NOTARY  1/24,Other
Debit Card Board Game,Entertainment
DEBIT CARD AMTRAK  #3106,Transportation
NOTARY  12/7,Other
DENTAL INSURANCE ONLINE  #9105  10/21,Health & Fitness
Electrician Service,Rent & Housing
ONLINE ORDER CONSULTING  10/3,Income
POS TRANSACTION SUBWAY  8/6,Food & Dining
Credit Card Comedy Show,Entertainment
Upwork,Income
POS TRANSACTION EPIC GAMES INC,Entertainment
BP FUEL,Transportation
TRANSFER TO HERTZ INC,Travel
Wix,Subscriptions
JEWELRY STORE,Shopping
PURCHASE AT SECURITY DEPOSIT  #8250,Rent & Housing
Window Replacement,Rent & Housing
INTEREST INCOME  #4666,Income
ACH Local diner,Food & Dining
Birthday Party  #9330,Other
Magazine  #1753,Subscriptions
TRANSFER TO HYATT  1/25,Travel
Wawa Gas,Transportation
disney plus,Entertainment
Bakery,Groceries
Dashlane,Subscriptions
YouTube Ad Revenue,Income
TRANSFER TO CAVA,Food & Dining
purchase at bumble,Subscriptions
ONLINE ORDER ENTERPRISE RENT-A-CAR,Travel
POS Transaction Chevron  #4769,Transportation
Personal Trainer  1/20,Health & Fitness
Protein Powder  #7135,Health & Fitness
UDEMY,Education
Farmers Market  #4011  7/10,Groceries
DEBIT CARD STUDENT LOAN,Education
POS Transaction Samsung  #5250,Shopping
BANK FEE,Other
magazine  #1099,Subscriptions
POS TRANSACTION PLUMBER,Rent & Housing
FRESH FRUITS  #7572,Groceries
WENDY'S STORE  #9809,Food & Dining
Visa,Travel
ROAD TRIP STORE,Travel
Salary store  #9382,Income
Debit Card Car Rental inc  #5113  12/18,Transportation
ONLINE ORDER DONATION  #2977,Other
debit card costco grocery payment,Groceries
purchase at college tuition store  7/16,Education
Flight Booking  #5953,Transportation
Debit Card REI,Travel
ULTA INC,Shopping
Wegmans,Groceries
POS Transaction Sprint,Bills & Utilities
BOOKSTORE,Education
KEY DUPLICATION STORE,Other
Medium  #3141,Subscriptions
PROGRESSIVE PAYMENT,Transportation
Airbnb llc,Travel
ACH UPS,Other
VRBO,Travel
Credit Card Speeding Ticket  #5809,Other
Purchase at QuikTrip online  #2517,Transportation
THEME PARK,Entertainment
TRANSFER TO ULTA  #7550,Shopping
COLLEGE TUITION SHOP,Education
Debit Card Ambulance,Health & Fitness
ACH BAKERY  10/17,Groceries
COX COMMUNICATIONS  #1750,Bills & Utilities
POS Transaction Photography Gig,Income
eBay  #5322,Shopping
POS TRANSACTION MEDIUM,Subscriptions
PLAYSTATION STORE  #9107,Entertainment
RENTAL INCOME  #1287,Income
ach paypal transfer,Income
BILLIARD  #9900,Entertainment
ONLINE ORDER RAILWAY,Transportation
Online order Broadband online,Bills & Utilities
transfer to home depot  #9614  10/27,Shopping
Alamo shop  5/26,Travel
Zoo inc  #4874,Entertainment
TOEFL EXAM  7/27,Education
Yoga Class,Health & Fitness
pos transaction microsoft 365 payment  11/11,Subscriptions
chipotle,Food & Dining
organic food shop,Groceries
Online order Student Loan inc,Education
Payment to Lyft Shared,Transportation
Payment to HelloFresh,Subscriptions
Purchase at Extra Space Storage  6/28,Rent & Housing
BANK FEE SHOP,Other
ONLINE ORDER KHAN ACADEMY,Education
MEAT MARKET,Groceries
PIZZA HUT INC  #4056,Food & Dining
Purchase at Target,Shopping
PAYMENT TO LEGAL FEE,Other
PAYMENT TO DOMINO'S PIZZA  #5158,Food & Dining
WIX,Subscriptions
appliance repair  #5217,Rent & Housing
Hostel  #5819,Travel
Lottery Ticket,Other
POS TRANSACTION MEAT MARKET,Groceries
Salary,Income
AMBULANCE ONLINE,Health & Fitness
BSNL shop,Bills & Utilities
United Airlines,Travel
Transfer to Booking.com,Travel
DEBIT CARD PROPERTY MANAGEMENT,Rent & Housing
Online order Metro,Transportation
Debit Card Toll  #7525,Transportation
TRAVEL PHOTOGRAPHY,Travel
Payment to Zelle Transfer  #4287,Income
MICROSOFT 365,Subscriptions
PAYMENT TO SPEEDING TICKET STORE,Other
CARNIVAL CRUISE,Travel
Book Club  #9759,Entertainment
Travel Photography,Travel
CREDIT CARD ICLOUD,Subscriptions
ACH Car Rental inc,Transportation
Birthday Party,Other
Purchase at Home Security  #3408,Bills & Utilities
FUNERAL FLOWERS,Other
debit card breakfast diner  #7850,Food & Dining
Trader Joe's,Groceries
FREELANCE  #295,Income
Purchase at Cox Communications,Bills & Utilities
LINKEDIN LEARNING,Education
GOFUNDME STORE,Other
SHOPIFY SHOP,Subscriptions
Netflix  9/17,Entertainment
iCloud,Subscriptions
DEBIT CARD BREAKFAST DINER ONLINE  10/15,Food & Dining
PAYMENT TO BOWLING ALLEY  #2312,Entertainment
CREDIT CARD PEST CONTROL  #3410  9/15,Bills & Utilities
DMV PAYMENT  3/6,Transportation
POST OFFICE  #9495  1/17,Other
Hertz  12/19,Travel
Debit Card Uber Pool,Transportation
Consulting  6/18,Income
SIDE HUSTLE  #824,Income
NINTENDO  #1185,Entertainment
ELECTRICIAN SERVICE,Rent & Housing
Duke Energy online,Bills & Utilities
Transfer to Winn-Dixie,Groceries
Uber Earnings store  #516  7/28,Income
